"Serial No","Motor type","rpm_read","tp_read"
"1","xmp_motor","400","20"
"2","cmp_motor","410","24"
"3","motor_1","452","25"
"4","xmp_motor","800","21"
"5","xmp_motor","512","36"
"6","motor_1","466","37"
"7","motor_1","700","58"
"8","cmp_motor","589","48"
"9","cmp_motor","763","49"
"10","xmp_motor","652","35"
"11","motor_1","444","32"
"12","xmp_motor","452","45"
"13","cmp_motor","412","55"
"14","xmp_motor","536","54"
"15","motor_1","653","42"
"16","cmp_motor","666","40"
"17","motor_1","612","30"
"18","motor_1","756","28"
"19","cmp_motor","789","29"
"20","motor_1","845","34"
"21","motor_1","865","36"
"22","cmp_motor","852","41"
"23","motor_1","888","49"
"24","xmp_motor","555","58"
"25","motor_1","788","53"
"26","cmp_motor","752","51"
"27","motor_1","466","21"
"28","motor_1","685","33"
"29","xmp_motor","632","23"
"30","cmp_motor","725","54"
"31","xmp_motor","863","51"
"32","motor_1","850","47"
"33","motor_1","548","43"
"34","cmp_motor","698","41"
"35","xmp_motor","563","59"
